Date,Open,High,Low,Close,Volume
1984-09-30,0.11820825006324,0.12928559884402,0.10964662219887,0.11178699936631,2146054393.7471
1984-10-31,0.11144800996584,0.12178706748556,0.10033680992284,0.11072271091456,3563056199.1304
1984-11-30,0.11144800996584,0.11820825006324,0.09749509181575,0.10999788864162,3370057644.2838
1984-12-31,0.10999788864162,0.13036192594889,0.1085589716084,0.1296455664915,3455020880.4763
1985-01-31,0.1296455664915,0.13856966508963,0.12427823431741,0.12928559884402,6366416093.2203
1985-02-28,0.12928559884402,0.13680320133614,0.10999788864162,0.10999788864162,4733388589.6507
1985-03-31,0.10999788864162,0.11570516377286,0.09213836795975,0.098571061336858,4615587176.3582
1985-04-30,0.098571061336858,0.10251246868753,0.087144472421269,0.09464145425013,2868028848.5011
1985-05-31,0.09464145425013,0.098933532070622,0.075003907939996,0.077483751286252,4639129412.7271
1985-06-30,0.075717764311095,0.082501247352613,0.065717934581024,0.080360870185167,5811388812.7631
1985-07-31,0.080711659849576,0.08108569245811,0.070700149050149,0.070700149050149,2600595112.8874
1985-08-31,0.070700149050149,0.071799719099138,0.064291056200921,0.066782223032777,1818745620.3147
1985-09-30,0.066782223032777,0.076793495443033,0.065717934581024,0.070361278844265,1804095979.1733
1985-10-31,0.070361278844265,0.085693874318701,0.066782223032777,0.082863598891792,3785913390.528
1985-11-30,0.082863598891792,0.09213836795975,0.082863598891792,0.089635639253125,2884671975.3322
1985-12-31,0.089635639253125,0.10178716963624,0.085693874318701,0.097846000674744,3571209497.3521
1986-01-31,0.097846000674744,0.10999788864162,0.096793274097761,0.10287505861588,6291801583.8374
1986-02-28,0.10287505861588,0.11894701810266,0.10178716963624,0.11144800996584,3420860555.2296
1986-03-31,0.11144800996584,0.13177795762173,0.10784571121023,0.12571691296145,4264332650.7437
1986-04-30,0.12571691296145,0.14565816707482,0.11678101409938,0.13467676993516,4462685018.4219
1986-05-31,0.13467676993516,0.16679136704075,0.13250027680839,0.16463752088517,4954051137.7309
1986-06-30,0.16463752088517,0.17428989839922,0.14458183996996,0.15960035771224,4063360051.6235
1986-07-31,0.15960035771224,0.16822885373894,0.13356468445472,0.13924788227974,5691638365.4645
1986-08-31,0.13856966508963,0.16918837015025,0.13605585128658,0.16463752088517,3643516794.5458
1986-09-30,0.16536341590938,0.16536341590938,0.14073543070374,0.14899084767859,3578198554.7678
1986-10-31,0.14864041559793,0.1567444554495,0.14355199875334,0.15431288591028,2984038540.3028
1986-11-30,0.15462755961535,0.18358707604921,0.15070963359798,0.17821855192927,5206163224.3278
1986-12-31,0.17821855192927,0.19540045139395,0.17428989839922,0.18038312559752,4762575947.3862
1987-01-31,0.18003030962516,0.25460320994487,0.17859282292697,0.24715354836636,8268915254.6757
1987-02-28,0.24715354836636,0.31750219258458,0.22963552017125,0.31144472376186,6616176065.4204
1987-03-31,0.312858371543,0.31397045702344,0.27717389660899,0.28710399750669,5959318428.543
1987-04-30,0.28068536909064,0.3560962073447,0.27786522520348,0.35290417635154,6813161643.6623
1987-05-31,0.35388633973405,0.36609782499355,0.32318658235545,0.3521437148976,3838956731.2671
1987-06-30,0.35461223475826,0.38568864702626,0.33896317765997,0.36097722561094,3497535879.7031
1987-07-31,0.36357328367782,0.39925299082842,0.32571231561703,0.36788693571825,3070255816.6825
1987-08-31,0.36551138763409,0.48432097437994,0.35643710385853,0.48215282487413,3119300765.2213
1987-09-30,0.48893738066692,0.52465403813895,0.43290400613796,0.50437665529516,3075486284.9849
1987-10-31,0.50673790002908,0.53356860117026,0.24672921564284,0.34477748952877,6575699110.9545
1987-11-30,0.3460028098652,0.35726789011777,0.27212004619413,0.29468477312898,4234238452.3177
1987-12-31,0.29924634990674,0.39074011354942,0.2656430124313,0.37499808467463,4702263912.3676
1988-01-31,0.38173377068746,0.41281018295547,0.341372100228,0.37071780711808,6221599928.4349
1988-02-29,0.37280252041421,0.39074011354942,0.3371383085597,0.38398178056539,3368467069.514
1988-03-31,0.38603907910692,0.4263399603279,0.3460028098652,0.35726789011777,4882102355.1451
1988-04-30,0.35499842521449,0.3785894175284,0.34365229264395,0.36609782499355,3297929676.545
1988-05-31,0.3639332513253,0.38507002712878,0.33391051919096,0.37071780711808,2638507247.8245
1988-06-30,0.37071780711808,0.41749929793945,0.36814320407655,0.41281018295547,3534731118.8196
1988-07-31,0.41504269753732,0.42429577319076,0.37717576974726,0.39645906975002,2186419083.0462
1988-08-31,0.39718496477423,0.40859903825836,0.35033195720171,0.3560962073447,2653313603.2995
1988-09-30,0.35499842521449,0.39492741932947,0.3371383085597,0.38603907910692,3060321691.7601
1988-10-31,0.38398178056539,0.38603907910692,0.33501068521287,0.34477748952877,3563649524.7404
1988-11-30,0.34365229264395,0.35499842521449,0.31710408266983,0.33568771045713,2939865433.8761
1988-12-31,0.3371383085597,0.37499808467463,0.33501068521287,0.35931565309247,2946070619.2745
1989-01-31,0.35931565309247,0.39285581743772,0.32353820638196,0.3371383085597,7345833443.0021
1989-02-28,0.3371383085597,0.35931565309247,0.31467132118475,0.32353820638196,4886268830.484
1989-03-31,0.32353820638196,0.32571231561703,0.29924634990674,0.31788599914911,3859676826.0154
1989-04-30,0.31710408266983,0.37146515716764,0.30249440235497,0.34813520099544,3966423699.396
1989-05-31,0.34365229264395,0.43748703794106,0.34365229264395,0.4263399603279,5253382279.5215
1989-06-30,0.4263399603279,0.44850538540215,0.35290417635154,0.36814320407655,3941279783.7261
1989-07-31,0.37280252041421,0.37499808467463,0.3371383085597,0.35499842521449,3688630400.0711
1989-08-31,0.35499842521449,0.40859903825836,0.35033195720171,0.39718496477423,3352305675.9754
1989-09-30,0.39718496477423,0.41749929793945,0.38398178056539,0.39718496477423,2020849369.8115
1989-10-31,0.39718496477423,0.45001319690564,0.37925213942243,0.41504269753732,4125049741.5049
1989-11-30,0.41281018295547,0.42178315133356,0.37925213942243,0.39492741932947,2524939179.5192
1989-12-31,0.39718496477423,0.40859903825836,0.2900409520874,0.31467132118475,5941185668.608
1990-01-31,0.31467132118475,0.3460028098652,0.28673091845483,0.30360767978126,3747497529.6887
1990-02-28,0.30781524864081,0.31467132118475,0.28790140928205,0.30360767978126,2483891144.5813
1990-03-31,0.29924634990674,0.38754569866456,0.29678855755876,0.35931565309247,4556473697.4627
1990-04-30,0.35726789011777,0.39492741932947,0.34031961204018,0.35181831367985,3642475166.6922
1990-05-31,0.35499842521449,0.38173377068746,0.3460028098652,0.36814320407655,4115630305.2311
1990-06-30,0.36961764109617,0.40063445607154,0.33501068521287,0.39958196788373,3952054375.5185
1990-07-31,0.39718496477423,0.4263399603279,0.35726789011777,0.37499808467463,4163812847.9838
1990-08-31,0.37499808467463,0.39074011354942,0.29924634990674,0.33030726687866,3128339004.6487
1990-09-30,0.32571231561703,0.33501068521287,0.24330475520843,0.25893116533552,2206948686.7588
1990-10-31,0.26360716891513,0.28564267189145,0.21637035477808,0.27467200226446,5056116657.5181
1990-11-30,0.27212004619413,0.34365229264395,0.2656430124313,0.32819156299036,3254607930.9397
1990-12-31,0.33246111303424,0.40398144002554,0.33030726687866,0.38398178056539,4094092903.2217
1991-01-31,0.38173377068746,0.49997718315335,0.37499808467463,0.49569571365095,7037307217.411
1991-02-28,0.49569571365095,0.55568515646455,0.48893738066692,0.51107658293241,5545780679.3739
1991-03-31,0.50891439315586,0.62712204724617,0.50891439315586,0.60700438514663,5210598508.0184
1991-04-30,0.60700438514663,0.65402068930095,0.48637588902976,0.49114605633172,7243051263.9823
1991-05-31,0.42859988966436,0.47996560423468,0.39285581743772,0.41963049712383,7972843083.0738
1991-06-30,0.41963049712383,0.44210582811974,0.35931565309247,0.37071780711808,4091662205.5573
1991-07-31,0.37717576974726,0.43070367409413,0.37280252041421,0.41281018295547,3783494354.4671
1991-08-31,0.41071593409252,0.49569571365095,0.40859903825836,0.47322157460088,4172649544.699
1991-09-30,0.47107964790383,0.47790711374731,0.41504269753732,0.44210582811974,2393070347.0029
1991-10-31,0.43974577533167,0.50212864541722,0.41504269753732,0.46005772460518,3593990361.0479
1991-11-30,0.45739491757056,0.49315925287669,0.42429577319076,0.45329939162116,3696033483.0056
1991-12-31,0.45329939162116,0.51787186623787,0.43290400613796,0.50361738578708,2607169554.1535
1992-01-31,0.49793180407035,0.61600953606273,0.49569571365095,0.57825465118282,4703159961.4605
1992-02-29,0.57825465118282,0.6250158789247,0.55143706144602,0.60255961906242,2534996960.2264
1992-03-31,0.60478498196915,0.61133234053728,0.51572040397399,0.52003643990612,2985662364.9051
1992-04-30,0.51107658293241,0.54679443235029,0.47322157460088,0.5368667153443,3931390323.5843
1992-05-31,0.53574390235119,0.56461879062951,0.52003643990612,0.53356860117026,2703724736.3814
1992-06-30,0.51107658293241,0.53145289728196,0.38173377068746,0.42859988966436,4851682975.8402
1992-07-31,0.42859988966436,0.44210582811974,0.38852786204707,0.41749929793945,3632809629.474
1992-08-31,0.41749929793945,0.42178315133356,0.37071780711808,0.41071593409252,2746531255.5621
